127.0.0.1 - - [18/Nov/2016:10:16:04 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:16:05 +0530] "GET /Collaboration/ HTTP/1.1" 200 6294
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:16:05 +0530] "GET /Collaboration/js/jquery.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:16:05 +0530] "GET /Collaboration/css/bootstrap.css HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:16:05 +0530] "GET /Collaboration/css/style.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:16:05 +0530] "GET /Collaboration/js/bootstrap.min.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:16:05 +0530] "GET /Collaboration/css/owl.carousel.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:16:05 +0530] "GET /Collaboration/js/easing.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:16:05 +0530] "GET /Collaboration/js/move-top.js HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:16:05 +0530] "GET /Collaboration/css/clndr.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:16:05 +0530] "GET /Collaboration/js/underscore-min.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:16:05 +0530] "GET /Collaboration/js/moment-2.2.1.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:16:05 +0530] "GET /Collaboration/js/site.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:16:05 +0530] "GET /Collaboration/js/menu_jquery.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:16:05 +0530] "GET /Collaboration/js/clndr.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:16:05 +0530] "GET /Collaboration/js/signup_jquery.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:19:00 +0530] "GET /Collaboration/css/bootstrap.css HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:19:00 +0530] "GET /Collaboration/js/jquery.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:19:00 +0530] "GET /Collaboration/js/bootstrap.min.js HTTP/1.1" 404 1060
